List Name,Unit Name,Title,Color,Weapon,HP1-,ATK1-,SPD1-,DEF1-,RES1-,HP1,ATK1,SPD1,DEF1,RES1,HP1+,ATK1+,SPD1+,DEF1+,RES1+,HP40-,ATK40-,SPD40-,DEF40-,RES40-,HP40,ATK40,SPD40,DEF40,RES40,HP40+,ATK40+,SPD40+,DEF40+,RES40+,WHP,WATK,WSPD,WDEF,WRES,Possible,HP,ATK,SPD,DEF,RES
Berkut,Berkut,Prideful Prince,Blue,Lance,n/a,n/a,n/a,n/a,n/a,18,8,4,7,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,40,32,20,29,22,n/a,n/a,n/a,n/a,n/a,0,10,0,0,0,1,neutral,neutral,neutral,neutral,neutral
Beruka,Beruka,Quiet Assassin,Green,Axe,18,6,4,8,3,19,7,5,9,4,20,8,6,10,5,40,24,18,32,17,43,27,21,35,20,46,30,24,38,23,0,7,0,0,0,1,neutral,boon,bane,boon,bane
Black Knight,Black Knight,Sinister General,Red,Sword,n/a,n/a,n/a,n/a,n/a,21,10,7,9,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,45,32,31,33,16,n/a,n/a,n/a,n/a,n/a,0,11,0,0,0,1,neutral,neutral,neutral,neutral,neutral
Boey,Boey,Skillful Survivor,Green,Tome,17,6,3,7,3,18,7,4,8,4,19,8,5,9,5,37,24,21,27,13,40,27,24,30,16,43,30,27,33,19,0,6,0,0,0,1,bane,boon,neutral,neutral,neutral
Caeda,Caeda,Talys's Heart,Red,Sword,15,4,8,3,9,16,5,9,4,10,17,6,10,5,11,31,20,32,19,29,34,23,35,22,32,37,26,38,25,35,0,8,0,0,0,1,neutral,boon,boon,bane,neutral
Caeda (Bride),Caeda,Talys's Bride,Blue,Tome,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,bane,neutral
Cain,Cain,The Bull,Red,Sword,16,7,4,7,4,17,8,5,8,5,18,9,6,9,6,36,27,26,23,16,39,30,29,26,19,42,33,32,29,22,0,5,-5,0,0,1,bane,boon,boon,neutral,bane
Camilla,Camilla,Bewitching Beauty,Green,Axe,16,7,7,4,5,17,8,8,5,6,18,9,9,6,7,32,25,27,22,25,35,28,30,25,28,38,31,33,28,31,0,5,-5,0,0,1,bane,boon,boon,neutral,neutral
Camilla (New Year),Camilla,Holiday Traveler,Red,Sword,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,bane,boon,boon,neutral,bane
Camilla (Spring),Camilla,Spring Princess,Green,Tome,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,bane,boon,neutral,neutral,neutral
Camus,Camus,Sable Knight,Blue,Lance,n/a,n/a,n/a,n/a,n/a,17,8,9,6,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,39,30,31,28,15,n/a,n/a,n/a,n/a,n/a,0,11,0,0,0,1,neutral,neutral,neutral,neutral,neutral
Catria,Catria,Middle Whitewing,Blue,Lance,15,6,9,5,4,16,7,10,6,5,17,8,11,7,6,33,26,29,23,20,36,29,32,26,23,39,32,35,29,26,0,7,0,0,0,1,neutral,boon,boon,neutral,bane
Catria (Spring),Catria,Spring Whitewing,Blue,Tome,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,bane,boon,boon,bane,neutral
Cecilia,Cecilia,Eturian General,Green,Tome,15,7,4,3,6,16,8,5,4,7,17,9,6,5,8,31,27,20,17,24,34,30,23,20,27,37,33,26,23,30,0,7,0,0,0,1,bane,boon,neutral,neutral,neutral
Celica,Celica,Caring Princess,Red,Tome,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,bane,neutral
Celica (Fallen),Celica,Imprisoned Soul,Red,Sword,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,bane,neutral
Charlotte,Charlotte,Money Maiden,Blue,Lance,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,neutral,bane
Cherche,Cherche,Wyvern Friend,Green,Axe,18,9,4,7,1,19,10,5,8,2,20,11,6,9,3,40,33,20,27,11,43,36,23,30,14,46,39,26,33,17,0,8,0,0,0,1,neutral,boon,bane,boon,bane
Chrom,Chrom,Exalted Prince,Red,Sword,19,8,4,6,2,20,9,5,7,3,21,10,6,8,4,41,32,20,26,12,44,35,23,29,15,47,38,26,32,18,0,11,0,0,0,1,boon,boon,bane,boon,bane
Chrom (Exalted),Chrom,Knight Exalt,Red,Sword,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,boon,bane
Chrom (Spring),Chrom,Spring Exalt,Green,Axe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,neutral,bane
Chrom (Winter),Chrom,Gifted Leader,Green,Axe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,bane,boon,boon
Clair,Clair,Highborn Flier,Blue,Lance,16,5,7,3,8,17,6,8,4,9,18,7,9,5,10,32,21,31,19,28,35,24,34,22,31,38,27,37,25,34,0,11,0,0,0,1,bane,boon,boon,neutral,neutral
Clarine,Clarine,Refined Noble,Colorless,Staff,14,4,8,3,6,15,5,9,4,7,16,6,10,5,8,30,20,28,17,24,33,23,31,20,27,36,26,34,23,30,0,5,0,0,0,1,neutral,neutral,boon,neutral,bane
Clarisse,Clarisse,Sniper in the Dark,Colorless,Bow,n/a,n/a,n/a,n/a,n/a,17,7,8,5,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,35,29,32,23,18,n/a,n/a,n/a,n/a,n/a,0,7,0,0,0,1,neutral,neutral,neutral,neutral,neutral
Clive,Clive,Idealistic Knight,Blue,Lance,n/a,n/a,n/a,n/a,n/a,18,9,5,8,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,42,31,23,30,17,n/a,n/a,n/a,n/a,n/a,0,11,0,0,0,1,neutral,neutral,neutral,neutral,neutral
Cordelia,Cordelia,Knight Paragon,Blue,Lance,16,8,8,3,4,17,9,9,4,5,18,10,10,5,6,34,30,30,17,20,37,33,33,20,23,40,36,36,23,26,0,5,-5,0,0,1,bane,boon,boon,neutral,bane
Cordelia (Bride),Cordelia,Perfect Bride,Colorless,Bow,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,bane,bane
Corrin (Female),Corrin,Fateful Princess,Blue,Breath,17,7,4,7,4,18,8,5,8,5,19,9,6,9,6,35,23,28,29,16,38,26,31,32,19,41,29,34,35,22,0,9,0,0,0,1,bane,boon,boon,neutral,neutral
Corrin (Male),Corrin,Fateful Prince,Red,Sword,18,7,7,4,3,19,8,8,5,4,20,9,9,6,5,36,27,27,22,19,39,30,30,25,22,42,33,33,28,25,0,11,0,0,0,1,bane,boon,boon,neutral,bane
Corrin (New Year),Corrin,Enjoying Tradition,Colorless,Bow,n/a,n/a,n/a,n/a,n/a,17,8,8,5,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,35,30,28,31,16,n/a,n/a,n/a,n/a,n/a,0,8,0,0,0,1,neutral,neutral,neutral,neutral,neutral
Corrin (Summer),Corrin,Novice Vacationer,Blue,Tome,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,bane,boon,boon,bane,bane
Deirdre,Deirdre,Lady of the Forest,Green,Tome,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,bane,boon,boon,bane,boon
Delthea,Delthea,Free Spirit,Blue,Tome,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,bane,neutral
Donnel,Donnel,Village Hero,Blue,Lance,15,6,3,5,2,16,7,4,6,3,17,8,5,7,4,37,30,23,27,18,40,33,26,30,21,43,36,29,33,24,0,5,-5,0,0,1,neutral,boon,bane,neutral,bane
Dorcas,Dorcas,Serene Warrior,Green,Axe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,bane,boon,bane
Draug,Draug,Gentle Giant,Red,Sword,22,7,4,12,1,23,8,5,13,2,24,9,6,14,3,44,25,26,34,13,47,28,29,37,16,50,31,32,40,19,0,5,-5,0,0,1,bane,boon,boon,neutral,neutral
Effie,Effie,Army of One,Blue,Lance,20,11,3,10,2,21,12,4,11,3,22,13,5,12,4,44,35,17,28,18,47,38,20,31,21,50,41,23,34,24,0,11,0,0,0,1,neutral,boon,bane,boon,neutral
Eirika,Eirika,Restoration Lady,Red,Sword,16,6,8,5,4,17,7,9,6,5,18,8,10,7,6,36,22,30,21,22,39,25,33,24,25,42,28,36,27,28,0,11,0,0,0,1,bane,boon,boon,bane,bane
Eirika (SM),Eirika,Anamnesis Lady,Red,Tome,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,bane,neutral
Eldigan,Eldigan,Lionheart,Red,Sword,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,bane,bane
Elincia,Elincia,Lost Princess,Red,Sword,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,bane,boon,boon,neutral,neutral
Elise,Elise,Budding Flower,Colorless,Staff,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,bane,neutral
Elise (Summer),Elise,Tropical Flower,Green,Tome,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,bane,neutral
Eliwood,Eliwood,Knight of Lycia,Red,Sword,15,5,7,4,7,16,6,8,5,8,17,7,9,6,9,33,25,25,18,27,36,28,28,21,30,39,31,31,24,33,0,11,0,0,0,1,neutral,boon,boon,bane,bane
Eliwood (LA),Eliwood,Devoted Love,Blue,Lance,n/a,n/a,n/a,n/a,n/a,22,10,8,6,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,44,36,30,26,26,n/a,n/a,n/a,n/a,n/a,0,10,0,0,0,1,neutral,neutral,neutral,neutral,neutral
Ephraim,Ephraim,Restoration Lord,Blue,Lance,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,bane,boon,bane
Ephraim (Legendary),Ephraim,Legendary Lord,Blue,Lance,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,bane,boon,bane
Est,Est,Junior Whitewing,Blue,Lance,15,8,7,3,6,16,9,8,4,7,17,10,9,5,8,31,30,25,19,26,34,33,28,22,29,37,36,31,25,32,0,8,0,0,0,1,bane,boon,neutral,neutral,boon
Fae,Fae,Divine Dragon,Green,Breath,14,3,2,5,7,15,4,3,6,8,16,5,4,7,9,40,27,22,21,25,43,30,25,24,28,47,33,28,27,31,0,9,0,0,0,1,bane,boon,boon,boon,neutral
Faye,Faye,Devoted Heart,Colorless,Bow,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,bane,neutral,neutral
Felicia,Felicia,Maid Mayhem,Colorless,Dagger,13,4,10,1,8,14,5,11,2,9,15,6,12,3,10,29,18,32,13,30,32,21,35,16,33,35,24,38,19,36,0,7,0,0,0,1,neutral,boon,boon,bane,boon
Finn,Finn,Lance of Legend,Blue,Lance,n/a,n/a,n/a,n/a,n/a,17,8,9,7,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,37,32,31,29,16,n/a,n/a,n/a,n/a,n/a,0,5,-5,0,0,1,neutral,neutral,neutral,neutral,neutral
Fir,Fir,Sword Student,Red,Sword,17,4,9,3,6,18,5,10,4,7,19,6,11,5,8,35,20,31,19,26,38,23,34,22,29,41,26,37,25,32,0,7,0,0,0,1,bane,boon,boon,bane,neutral
Fjorm,Fjorm,Princess of Ice,Blue,Lance,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,bane,boon,neutral,neutral,neutral
Florina,Florina,Lovely Flier,Blue,Lance,16,5,7,4,7,17,6,8,5,8,18,7,9,6,9,36,23,23,20,29,39,26,26,23,32,42,29,29,26,35,0,8,0,0,0,1,bane,boon,neutral,bane,boon
Frederick,Frederick,Polite Knight,Green,Axe,17,8,4,7,2,18,9,5,8,3,19,10,6,9,4,37,30,20,31,10,40,33,23,34,13,43,36,26,37,16,0,8,0,0,0,1,neutral,boon,bane,neutral,bane
Frederick (Summer),Frederick,Horizon Watcher,Colorless,Dagger,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,boon,bane
Gaius,Gaius,Candy Stealer,Colorless,Dagger,16,6,9,3,2,17,7,10,4,3,18,8,11,5,4,36,24,31,17,14,39,27,34,20,17,42,30,37,23,20,0,4,0,0,0,1,neutral,boon,boon,neutral,bane
Gaius (Summer),Gaius,Thief Exposed,Colorless,Bow,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,bane,boon
Genny,Genny,Endearing Ally,Colorless,Staff,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,bane,boon,bane,bane,neutral
Gerome,Gerome,Masked Rider,Green,Axe,n/a,n/a,n/a,n/a,n/a,18,10,5,8,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,42,36,23,32,17,n/a,n/a,n/a,n/a,n/a,0,10,0,0,0,1,neutral,neutral,neutral,neutral,neutral
Gordin,Gordin,Altean Archer,Colorless,Bow,17,6,4,7,2,18,7,5,8,3,19,8,6,9,4,37,26,20,27,12,40,29,23,30,15,43,32,26,33,18,0,4,-5,0,0,1,bane,boon,bane,neutral,bane
Gray,Gray,Wry Comrade,Red,Sword,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,bane,boon,neutral,boon,bane
Gunnthrá,Gunnthrá,Voice of Dreams,Green,Tome,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,neutral,bane,neutral
Gunter,Gunter,Inveterate Soldier,Green,Axe,19,9,5,10,3,20,10,6,11,4,21,11,7,12,5,37,27,19,28,13,40,30,22,31,16,43,33,25,34,19,0,11,0,0,0,1,neutral,boon,neutral,boon,bane
Gwendolyn,Gwendolyn,Adorable Knight,Blue,Lance,21,7,3,11,4,22,8,4,12,5,23,9,5,13,6,43,25,19,33,22,46,28,22,36,25,49,31,25,39,28,0,7,0,0,0,1,bane,boon,boon,bane,neutral
