List Name,Unit Name,Title,Color,Weapon,HP1-,ATK1-,SPD1-,DEF1-,RES1-,HP1,ATK1,SPD1,DEF1,RES1,HP1+,ATK1+,SPD1+,DEF1+,RES1+,HP40-,ATK40-,SPD40-,DEF40-,RES40-,HP40,ATK40,SPD40,DEF40,RES40,HP40+,ATK40+,SPD40+,DEF40+,RES40+,WHP,WATK,WSPD,WDEF,WRES,Possible,HP,ATK,SPD,DEF,RES
Athena,Athena,Borderland Sword,Red,Sword,15,5,8,6,3,16,6,9,7,4,17,7,10,8,5,30,24,31,21,18,33,27,34,24,21,36,30,37,27,24,0,8,0,0,0,1,bane,boon,boon,neutral,bane
Ayra,Ayra,Astra's Wielder,Red,Sword,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,bane,bane
Azama,Azama,Carefree Monk,Colorless,Staff,17,2,5,6,4,18,3,6,7,5,19,4,7,8,6,36,15,20,25,19,39,18,23,28,22,42,21,26,31,25,0,10,0,0,0,1,neutral,bane,neutral,boon,bane
Azura,Azura,Lady of the Lake,Blue,Lance,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,bane,boon,boon,neutral,neutral
Azura (New Year),Azura,Celebratory Spirit,Green,Axe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,bane,boon,boon,neutral,neutral
Azura (PA),Azura,Lady of Balads,Green,Axe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,neutral,boon,bane,boon
Barst,Barst,The Hatchet,Green,Axe,18,7,6,4,2,19,8,7,5,3,20,9,8,6,4,39,26,25,23,11,42,29,28,26,14,45,32,31,29,17,0,8,0,0,0,1,bane,neutral,boon,neutral,bane
Bartre,Bartre,Fearless Warrior,Green,Axe,19,8,4,5,1,20,9,5,6,2,21,10,6,7,3,42,29,19,26,8,45,32,22,29,11,48,35,25,32,14,0,8,0,0,0,1,neutral,boon,bane,neutral,bane
Berkut,Berkut,Prideful Prince,Blue,Lance,n/a,n/a,n/a,n/a,n/a,18,7,4,6,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,39,30,19,27,21,n/a,n/a,n/a,n/a,n/a,0,8,0,0,0,1,neutral,neutral,neutral,neutral,neutral
Beruka,Beruka,Quiet Assassin,Green,Axe,18,5,4,7,3,19,6,5,8,4,20,7,6,9,5,39,22,17,30,16,42,25,20,33,19,45,28,23,36,22,0,8,0,0,0,1,neutral,boon,bane,boon,bane
Black Knight,Black Knight,Sinister General,Red,Sword,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,neutral,neutral,neutral,neutral
Boey,Boey,Skillful Survivor,Green,Tome,17,5,3,6,3,18,6,4,7,4,19,7,5,8,5,36,22,20,25,12,39,25,23,28,15,42,28,26,31,18,0,6,0,0,0,1,bane,boon,neutral,neutral,neutral
Caeda,Caeda,Talys's Heart,Red,Sword,15,4,7,3,8,16,5,8,4,9,17,6,9,5,10,30,19,30,18,27,33,22,33,21,30,36,25,36,24,33,0,8,0,0,0,1,neutral,boon,boon,bane,neutral
Caeda (Bride),Caeda,Talys's Bride,Blue,Tome,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,bane,neutral
Cain,Cain,The Bull,Red,Sword,16,6,4,6,4,17,7,5,7,5,18,8,6,8,6,35,25,25,21,15,38,28,28,24,18,41,31,31,27,21,0,8,0,0,0,1,bane,boon,boon,neutral,bane
Camilla,Camilla,Bewitching Beauty,Green,Axe,16,6,6,4,5,17,7,7,5,6,18,8,8,6,7,31,23,25,21,24,34,26,28,24,27,37,29,31,27,30,0,8,0,0,0,1,bane,boon,boon,neutral,neutral
Camilla (New Year),Camilla,Holiday Traveler,Red,Sword,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,bane,boon,boon,neutral,bane
Camilla (Spring),Camilla,Spring Princess,Green,Tome,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,bane,boon,neutral,neutral,neutral
Camus,Camus,Sable Knight,Blue,Lance,n/a,n/a,n/a,n/a,n/a,17,7,8,6,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,38,28,29,27,14,n/a,n/a,n/a,n/a,n/a,0,8,0,0,0,1,neutral,neutral,neutral,neutral,neutral
Canas,Canas,Seeker of Wisdom,Red,Tome,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,neutral,neutral,neutral,neutral
Catria,Catria,Middle Whitewing,Blue,Lance,15,5,8,5,4,16,6,9,6,5,17,7,10,7,6,32,24,27,22,19,35,27,30,25,22,38,30,33,28,25,0,8,0,0,0,1,neutral,boon,boon,neutral,bane
Catria (Spring),Catria,Spring Whitewing,Blue,Tome,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,bane,boon,boon,bane,neutral
Cecilia,Cecilia,Eturian General,Green,Tome,15,6,4,3,5,16,7,5,4,6,17,8,6,5,7,30,25,19,16,22,33,28,22,19,25,36,31,25,22,28,0,6,0,0,0,1,bane,boon,neutral,neutral,neutral
Celica,Celica,Caring Princess,Red,Tome,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,bane,neutral
Celica (Fallen),Celica,Imprisoned Soul,Red,Sword,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,bane,neutral
Charlotte,Charlotte,Money Maiden,Blue,Lance,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,neutral,bane
Cherche,Cherche,Wyvern Friend,Green,Axe,18,8,4,6,1,19,9,5,7,2,20,10,6,8,3,39,31,19,25,10,42,34,22,28,13,45,37,25,31,16,0,8,0,0,0,1,neutral,boon,bane,boon,bane
Chrom,Chrom,Exalted Prince,Red,Sword,19,7,4,5,2,20,8,5,6,3,21,9,6,7,4,40,30,19,24,11,43,33,22,27,14,46,36,25,30,17,0,8,0,0,0,1,boon,boon,bane,boon,bane
Chrom (Exalted),Chrom,Knight Exalt,Red,Sword,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,boon,bane
Chrom (Spring),Chrom,Spring Exalt,Green,Axe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,neutral,bane
Chrom (Winter),Chrom,Gifted Leader,Green,Axe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,bane,boon,boon
Clair,Clair,Highborn Flier,Blue,Lance,16,5,6,3,7,17,6,7,4,8,18,7,8,5,9,31,20,29,18,16,34,23,32,21,29,37,26,35,24,32,0,8,0,0,0,1,bane,boon,boon,neutral,neutral
Clarine,Clarine,Refined Noble,Colorless,Staff,14,4,7,3,5,15,5,8,4,6,16,6,9,5,7,29,19,26,16,22,32,22,29,19,25,35,25,32,22,28,0,10,0,0,0,1,neutral,neutral,boon,neutral,bane
Clarisse,Clarisse,Sniper in the Dark,Colorless,Bow,n/a,n/a,n/a,n/a,n/a,17,6,7,5,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,34,27,30,22,17,n/a,n/a,n/a,n/a,n/a,0,6,0,0,0,1,neutral,neutral,neutral,neutral,neutral
Clive,Clive,Idealistic Knight,Blue,Lance,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,neutral,neutral,neutral,neutral
Cordelia,Cordelia,Knight Paragon,Blue,Lance,16,7,7,3,4,17,8,8,4,5,18,9,9,5,6,33,28,28,16,19,36,31,31,19,22,39,34,34,22,25,0,8,0,0,0,1,bane,boon,boon,neutral,bane
Cordelia (Bride),Cordelia,Perfect Bride,Colorless,Bow,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,bane,bane
Cordelia (Summer),Cordelia,Knight Paradise,Blue,Lance,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,neutral,bane
Corrin (Female),Corrin,Fateful Princess,Blue,Breath,17,6,4,6,4,18,7,5,7,5,19,8,6,8,6,34,21,27,27,15,37,24,30,30,18,40,27,33,33,21,0,8,0,0,0,1,bane,boon,boon,neutral,neutral
Corrin (Male),Corrin,Fateful Prince,Red,Sword,18,6,6,4,3,19,7,7,5,4,20,8,8,6,5,35,25,25,21,18,38,28,28,24,21,41,31,31,27,24,0,8,0,0,0,1,bane,boon,boon,neutral,bane
Corrin (New Year),Corrin,Enjoying Tradition,Colorless,Bow,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,neutral,neutral,neutral,neutral
Corrin (Summer),Corrin,Novice Vacationer,Blue,Tome,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,bane,boon,boon,bane,bane
Deirdre,Deirdre,Lady of the Forest,Green,Tome,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,bane,boon,boon,bane,boon
Delthea,Delthea,Free Spirit,Blue,Tome,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,bane,neutral
Donnel,Donnel,Village Hero,Blue,Lance,15,5,3,4,2,16,6,4,5,3,17,7,5,6,4,36,28,22,25,17,39,31,25,28,20,42,34,28,31,23,0,8,0,0,0,1,neutral,boon,bane,neutral,bane
Dorcas,Dorcas,Serene Warrior,Green,Axe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,bane,boon,bane
Draug,Draug,Gentle Giant,Red,Sword,22,6,4,11,1,23,7,5,12,2,24,8,6,13,3,43,23,25,32,12,46,26,28,35,15,49,29,31,38,18,0,8,0,0,0,1,bane,boon,boon,neutral,neutral
Effie,Effie,Army of One,Blue,Lance,20,10,3,9,2,21,11,4,10,3,22,12,5,11,4,43,33,16,26,17,46,36,19,29,20,49,39,22,32,23,0,8,0,0,0,1,neutral,boon,bane,boon,neutral
Eirika,Eirika,Restoration Lady,Red,Sword,16,5,7,5,4,17,6,8,6,5,18,7,9,7,6,35,20,28,20,21,38,23,31,23,24,41,26,34,26,27,0,8,0,0,0,1,bane,boon,boon,bane,bane
Eirika (SM),Eirika,Anamnesis Lady,Red,Tome,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,bane,neutral
Eldigan,Eldigan,Lionheart,Red,Sword,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,bane,bane
Elincia,Elincia,Lost Princess,Red,Sword,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,bane,boon,boon,neutral,neutral
Elise,Elise,Budding Flower,Colorless,Staff,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,bane,neutral
Elise (Summer),Elise,Tropical Flower,Green,Tome,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,bane,neutral
Eliwood,Eliwood,Knight of Lycia,Red,Sword,15,5,6,4,6,16,6,7,5,7,17,7,8,6,8,32,24,23,17,25,35,27,26,20,28,38,30,29,23,31,0,8,0,0,0,1,neutral,boon,boon,bane,bane
Eliwood (LA),Eliwood,Devoted Love,Blue,Lance,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,neutral,neutral,neutral,neutral
Ephraim,Ephraim,Restoration Lord,Blue,Lance,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,bane,boon,bane
Ephraim (Legendary),Ephraim,Legendary Lord,Blue,Lance,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,bane,boon,bane
Est,Est,Junior Whitewing,Blue,Lance,15,7,6,3,6,16,8,7,4,7,17,9,8,5,8,30,28,23,18,25,33,31,26,21,28,36,34,29,24,31,0,8,0,0,0,1,bane,boon,neutral,neutral,boon
Fae,Fae,Divine Dragon,Green,Breath,14,3,2,4,6,15,4,3,5,7,16,5,4,6,8,39,26,21,19,23,42,29,24,22,26,45,32,27,25,29,0,8,0,0,0,1,bane,boon,boon,boon,neutral
Faye,Faye,Devoted Heart,Colorless,Bow,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,bane,neutral,neutral
Felicia,Felicia,Maid Mayhem,Colorless,Dagger,13,4,9,1,7,14,5,10,2,8,15,6,11,3,9,28,17,30,12,28,31,20,33,15,31,34,23,36,18,34,0,5,0,0,0,1,neutral,boon,boon,bane,boon
Finn,Finn,Lance of Legend,Blue,Lance,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,neutral,neutral,neutral,neutral
Fir,Fir,Sword Student,Red,Sword,17,4,8,3,5,18,5,9,4,6,19,6,10,5,7,34,19,29,18,24,37,22,32,21,27,40,25,35,24,30,0,8,0,0,0,1,bane,boon,boon,bane,neutral
Fjorm,Fjorm,Princess of Ice,Blue,Lance,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,bane,boon,neutral,neutral,neutral
Florina,Florina,Lovely Flier,Blue,Lance,16,5,6,4,6,17,6,7,5,7,18,7,8,6,8,35,22,21,19,27,38,25,24,22,30,41,28,27,25,33,0,8,0,0,0,1,bane,boon,neutral,bane,boon
Frederick,Frederick,Polite Knight,Green,Axe,17,7,4,6,2,18,8,5,7,3,19,9,6,8,4,36,28,19,29,9,39,31,22,32,12,42,34,25,35,15,0,8,0,0,0,1,neutral,boon,bane,neutral,bane
Frederick (Summer),Frederick,Horizon Watcher,Colorless,Dagger,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,boon,bane
Gaius,Gaius,Candy Stealer,Colorless,Dagger,16,5,8,3,2,17,6,9,4,3,18,7,10,5,4,35,22,29,16,13,38,25,32,19,16,41,28,35,22,19,0,5,0,0,0,1,neutral,boon,boon,neutral,bane
Gaius (Summer),Gaius,Thief Exposed,Colorless,Bow,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,bane,boon
Genny,Genny,Endearing Ally,Colorless,Staff,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,bane,boon,bane,bane,neutral
Gerome,Gerome,Masked Rider,Green,Axe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,neutral,neutral,neutral,neutral
